,Symbol,CIK
0,A,1090872
1,AA,4281
2,AAAP,
3,AAC,1099290
4,AAL,6201
5,AAMC,1555074
6,AAME,8177
7,AAN,706688
8,AAOI,1158114
9,AAON,824142
10,AAP,1158449
11,AAPC,
12,AAPL,320193
13,AAT,1500217
14,AAU,
15,AAV,
16,AAWW,
17,AAXJ,
18,AB,825313
19,ABAC,
20,ABAX,881890
21,ABB,
22,ABBV,1551152
23,ABC,1140859
24,ABCB,351569
25,ABCD,1466815
26,ABCO,1157377
27,ABDC,
28,ABEO,
29,ABEOW,
30,ABEV,
31,ABG,1144980
32,ABIL,1652866
33,ABIO,
34,ABM,771497
35,ABMD,815094
36,ABR,1253986
37,ABRN,
38,ABT,1800
39,ABTL,1023364
40,ABTX,1642081
41,ABUS,
42,ABX,
43,ABY,
44,AC,
45,ACAD,1070494
46,ACAS,817473
47,ACAT,719866
48,ACBI,
49,ACC,1283630
50,ACCO,
51,ACCP,318306
52,ACET,2034
53,ACFC,1404296
54,ACGL,947484
55,ACGLP,
56,ACH,
57,ACHC,1520697
58,ACHN,1070336
59,ACIA,
60,ACIU,
61,ACIW,935036
62,ACLS,1113232
63,ACM,868857
64,ACN,1467373
65,ACNB,715579
66,ACOR,1008848
67,ACP,1503290
68,ACRE,1529377
69,ACRS,1557746
70,ACRX,1427925
71,ACSF,1581934
72,ACST,
73,ACTA,
74,ACTG,934549
75,ACTX,
76,ACU,2098
77,ACUR,786947
78,ACV,1368457
79,ACWI,
80,ACWX,
81,ACXM,733269
82,ACY,1036848
83,ADAP,1621227
84,ADBE,796343
85,ADC,917251
86,ADES,1515156
87,ADGE,1378706
88,ADHD,1566049
89,ADI,891554
90,ADK,1004724
91,ADM,7084
92,ADMA,1368514
93,ADMP,
94,ADMS,1328143
95,ADNT,1129018
96,ADP,8670
97,ADPT,709804
98,ADRA,
99,ADRD,
100,ADRE,
101,ADRO,1435049
102,ADRU,
103,ADS,1101215
104,ADSK,769397
105,ADSW,
106,ADTN,926282
107,ADUS,1468328
108,ADVM,
109,ADX,2230
110,ADXS,1100397
111,ADXSW,
112,AE,2178
113,AEB,
114,AED,
115,AEE,1002910
116,AEG,
117,AEGN,1039160
118,AEH,
119,AEHR,1040470
120,AEIS,927003
121,AEK,
122,AEL,1039828
123,AEM,
124,AEMD,882291
125,AEO,919012
126,AEP,4904
127,AEPI,785787
128,AER,1378789
129,AERI,1337553
130,AES,874761
131,AET,1122304
132,AETI,1043186
133,AEUA,
134,AEY,874292
135,AEZS,
136,AF,910322
137,AFA,
138,AFAM,799231
139,AFB,1162027
140,AFC,
141,AFCO,1040660
142,AFG,1042046
143,AFGE,
144,AFGH,
145,AFH,1539894
146,AFI,1655075
147,AFL,4977
148,AFMD,
149,AFSD,
150,AFSI,1365555
151,AFSS,
152,AFST,
153,AFT,1502573
154,AFW,
155,AG,
156,AGC,1391461
157,AGCO,880266
158,AGD,1362481
159,AGEN,1098972
160,AGFS,
161,AGFSW,
162,AGI,
163,AGII,1091748
164,AGIIL,
165,AGIO,1439222
166,AGLE,1636282
167,AGM,845877
168,AGN,850693
169,AGNC,1423689
170,AGNCB,
171,AGNCP,
172,AGND,
173,AGO,1273813
174,AGR,1129446
175,AGRO,
176,AGRX,1261249
177,AGTC,1273636
178,AGU,
179,AGX,100591
180,AGYS,78749
181,AGZD,
182,AHC,1413898
183,AHGP,1344980
184,AHH,1569187
185,AHL,1267395
186,AHP,1574085
187,AHPA,
188,AHPAU,
189,AHPAW,
190,AHPI,874710
191,AHT,1232582
192,AI,
193,AIA,724533
