,Symbol,Name,Sector,industry,Exchange,CIK
0,A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE,1090872
1,AA,Alcoa Corporation,Capital Goods,Metal Fabrications,NYSE,4281
2,AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,NYSE,1099290
3,AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ,6201
4,AAMC,Altisource Asset Management Corp,Finance,Real Estate,AMEX,1555074
5,AAME,Atlantic American Corporation,Finance,Life Insurance,NASDAQ,8177
6,AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,NYSE,706688
7,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,NASDAQ,1158114
8,AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,824142
9,AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,NYSE,1158449
10,AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ,320193
11,AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,1500217
12,AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,NYSE,825313
13,ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,881890
14,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,NYSE,1551152
15,ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,NYSE,1140859
16,ABCB,Ameris Bancorp,Finance,Major Banks,NASDAQ,351569
17,ABCD,"Cambium Learning Group, Inc.",Consumer Services,Publishing,NASDAQ,1466815
18,ABCO,The Advisory Board Company,Consumer Services,Other Consumer Services,NASDAQ,1157377
19,ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,NYSE,1144980
20,ABIL,Ability Inc.,Finance,Business Services,NASDAQ,1652866
21,ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,NYSE,771497
22,ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,815094
23,ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE,1253986
24,ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,NYSE,1800
25,ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing",NASDAQ,1023364
26,ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,NASDAQ,1642081
27,ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ,1070494
28,ACAS,"American Capital, Ltd.",,,NASDAQ,817473
29,ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties,NASDAQ,719866
30,ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,NYSE,1283630
31,ACCP,"Accelerated Pharma, Inc.",,,NASDAQ,318306
32,ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,NASDAQ,2034
33,ACFC,Atlantic Coast Financial Corporation,Finance,Savings Institutions,NASDAQ,1404296
34,ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ,947484
35,ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,NASDAQ,1520697
36,ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1070336
37,ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,935036
38,ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,NASDAQ,1113232
39,ACM,AECOM,Consumer Services,Military/Government/Technical,NYSE,868857
40,ACN,Accenture plc,Miscellaneous,Business Services,NYSE,1467373
41,ACNB,ACNB Corporation,Finance,Major Banks,NASDAQ,715579
42,ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1008848
43,ACP,Avenue Income Credit Strategies Fund,,,NYSE,1503290
44,ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,1529377
45,ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1557746
46,ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1427925
47,ACSF,"American Capital Senior Floating, Ltd.",,,NASDAQ,1581934
48,ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,NASDAQ,934549
49,ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components,AMEX,2098
50,ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,786947
51,ACV,AllianzGI Diversified Income & Convertible Fund,,,NYSE,1368457
52,ACXM,Acxiom Corporation,Technology,EDP Services,NASDAQ,733269
53,ACY,AeroCentury Corp.,Technology,Diversified Commercial Services,AMEX,1036848
54,ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1621227
55,ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,NASDAQ,796343
56,ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,917251
57,ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,NASDAQ,1515156
58,ADGE,American DG Energy Inc.,Public Utilities,Power Generation,AMEX,1378706
59,ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,NASDAQ,1566049
60,ADI,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ,891554
61,ADK,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management,AMEX,1004724
62,ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,NYSE,7084
63,ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1368514
64,ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1328143
65,ADNT,Adient plc,,,NYSE,1129018
66,ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,NASDAQ,8670
67,ADPT,Adeptus Health Inc.,Health Care,Hospital/Nursing Management,NYSE,709804
68,ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1435049
69,ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,NYSE,1101215
70,ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,769397
71,ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ,926282
72,ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,NASDAQ,1468328
73,ADX,"Adams Diversified Equity Fund, Inc.",,,NYSE,2230
74,ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1100397
75,AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing,AMEX,2178
76,AEE,Ameren Corporation,Public Utilities,Power Generation,NYSE,1002910
77,AEGN,Aegion Corp,Basic Industries,Water Supply,NASDAQ,1039160
78,AEHR,Aehr Test Systems,Capital Goods,Electrical Products,NASDAQ,1040470
79,AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,927003
80,AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,NYSE,1039828
81,AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,882291
82,AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,919012
83,AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,NYSE,4904
84,AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals,NASDAQ,785787
85,AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,NYSE,1378789
86,AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1337553
87,AES,The AES Corporation,Basic Industries,Electric Utilities: Central,NYSE,874761
88,AET,Aetna Inc.,Health Care,Medical Specialities,NYSE,1122304
89,AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,NASDAQ,1043186
90,AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,NASDAQ,874292
91,AF,Astoria Financial Corporation,Finance,Savings Institutions,NYSE,910322
92,AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,NASDAQ,799231
93,AFB,Alliance National Municipal Income Fund Inc,,,NYSE,1162027
94,AFCO,American Farmland Company,Consumer Services,Real Estate Investment Trusts,AMEX,1040660
95,AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE,1042046
96,AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ,1539894
97,AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,NYSE,1655075
98,AFL,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE,4977
99,AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NASDAQ,1365555
100,AFT,Apollo Senior Floating Rate Fund Inc.,,,NYSE,1502573
101,AGC,Advent Claymore Convertible Securities and Income Fund II,,,NYSE,1391461
102,AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,NYSE,880266
103,AGD,Alpine Global Dynamic Dividend Fund,,,NYSE,1362481
104,AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1098972
105,AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NASDAQ,1091748
106,AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1439222
107,AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1636282
108,AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,NYSE,845877
109,AGN,Allergan plc.,Health Care,Major Pharmaceuticals,NYSE,850693
110,AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ,1423689
111,AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,NYSE,1273813
112,AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,NYSE,1129446
113,AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1261249
114,AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1273636
115,AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,NYSE,100591
116,AGYS,"Agilysys, Inc.",Technology,EDP Services,NASDAQ,78749
117,AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,NYSE,1413898
118,AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,NASDAQ,1344980
119,AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,NYSE,1569187
120,AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,NYSE,1267395
121,AHP,"Ashford Hospitality Prime, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,1574085
122,AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,NASDAQ,874710
123,AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,NYSE,1232582
124,AIA,iShares Asia 50 ETF,,,NASDAQ,724533
125,AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE,1282552
126,AIF,Apollo Tactical Income Fund Inc.,,,NYSE,1526697
127,AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,NYSE,5272
128,AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,NASDAQ,1374535
129,AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1631650
130,AIN,Albany International Corporation,Basic Industries,Textiles,NYSE,819793
131,AINC,Ashford Inc.,Consumer Services,Professional Services,AMEX,1604738
132,AINV,Apollo Investment Corporation,,,NASDAQ,1278752
133,AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,NASDAQ,817135
134,AIR,AAR Corp.,Capital Goods,Aerospace,NYSE,1135185
